object_item,total_mentions,positive_mentions,negative_mentions,neutral_mentions,positive_percentage,negative_percentage,neutral_percentage
prabowo,1556,604,243,709,38.8,15.6,45.6
prabowo subianto,1324,569,124,631,43.0,9.4,47.7
gibran rakabuming,224,104,14,106,46.4,6.2,47.3
jokowi,219,24,58,137,11.0,26.5,62.6
gibran,212,72,40,100,34.0,18.9,47.2
pemerintah,202,121,49,32,59.9,24.3,15.8
gibran rakabuming raka,169,75,8,86,44.4,4.7,50.9
gerindra,70,26,22,22,37.1,31.4,31.4
zulkifli hasan,41,18,3,20,43.9,7.3,48.8
anies baswedan,41,1,3,37,2.4,7.3,90.2
